,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,0.95
Refraction index,1.33
Voxel size,220 nm x 220 nm x 220 nm
Bead diameter,100 nm
,
Frame size,12 pixels
Threshold,197
,
Theoretical FWHM in XY,270 nm
Theoratical FWHM in Z,1.3 um
,
HeatMap Statistics,
FWHM min,422 nm +/- 11 nm
FWHMmin / Theoretical FWHMxy,1.566 +/- 0.04
FWHM max,550 nm +/- 36 nm
FWHMmax / Theoretical FWHMxy,2.041 +/- 0.134
FWHM z,2.08 um +/- 72.03 nm
FWHMz / Theoretical FWHMz,1.605 +/- 0.056
z0,+/- 8.33 um
(z0 - mean(z0)) / FWHMz,+/- 6.421
Asymmetry,0.772 +/- 0.054
Theta,-53.9 deg +/- 49.8 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
1,-150.401,77.16,1.346,0.459,0.647,2.53,-36.171,0.71,-30.246,0.848,0.919,0,243,122.71,116.359,data_traditional
2,-93.984,45.079,2.283,0.473,0.557,2.387,-35.234,0.85,87.035,0.93,0.963,1,353,294.35,118.951,data_traditional
3,-106.721,44.49,18.185,0.378,0.459,1.994,-19.332,0.825,-64.616,0.944,0.93,1,461,354.154,118.43,data_traditional
4,17.866,32.646,2.504,0.45,0.535,3.087,-35.013,0.841,73.408,0.916,0.626,0,551,399.207,122.115,data_traditional
5,162.959,-2.188,0.722,0.427,0.879,2.26,-36.795,0.486,-12.382,0.723,0.714,0,197,79.927,115.844,data_traditional
6,-78.29,-8.961,2.474,0.501,0.556,2.103,-35.044,0.9,17.565,0.93,0.967,1,471,334.089,122.082,data_traditional
7,131.56,-10.113,1.641,0.458,0.61,3.335,-35.876,0.752,-20.152,0.892,0.904,0,271,174.706,119.471,data_traditional
8,-118.61,-16.476,2.027,0.419,0.432,2.256,-35.491,0.969,-76.958,0.926,0.957,1,327,285.64,116.274,data_traditional
9,135.016,-20.094,2.081,0.417,0.616,2.493,-35.436,0.677,-37.626,0.92,0.957,1,375,262.921,119.53,data_traditional
10,150.147,-28.169,0.663,0.452,0.838,3.017,-36.854,0.539,-33.489,0.734,0.856,0,183,85.442,117.102,data_traditional
11,135.273,-47.017,0.074,0.887,1.522,2.978,-37.443,0.582,-49.51,0.609,0.663,0,140,46.032,114.477,data_traditional
12,-137.103,-55.063,1.469,0.506,0.615,2.879,-36.048,0.822,-58.609,0.922,0.906,1,260,154.574,114.767,data_traditional
13,-153.41,-61.593,2.423,0.453,0.697,3.227,-35.094,0.65,41.296,0.931,0.943,1,337,224.504,121.26,data_traditional
14,112.728,-78.626,2.106,0.5,0.663,2.823,-35.411,0.754,72.039,0.621,0.835,0,188,98.0,117.231,data_traditional
15,-89.036,-80.746,0.358,1.34,1.68,1.092,-37.159,0.798,-21.666,0.482,0.651,0,148,45.891,119.641,data_traditional
16,-148.537,-92.127,2.765,0.698,1.229,2.937,-34.752,0.568,-58.898,0.624,0.764,0,194,70.893,116.279,data_traditional
17,-90.414,86.713,2.838,0.404,0.458,4.327,-34.679,0.882,-58.139,0.938,0.718,0,506,370.517,121.03,data_traditional
18,131.524,67.672,39.911,0.398,0.638,1.656,2.394,0.625,-87.667,0.929,0.521,0,493,396.324,116.462,data_traditional
19,-100.808,66.866,2.087,0.461,0.587,2.5,-35.431,0.785,-69.17,0.933,0.96,1,332,226.317,118.438,data_traditional
20,90.344,61.01,2.291,0.452,0.534,1.918,-35.226,0.846,-86.794,0.917,0.953,1,356,264.711,119.564,data_traditional
21,160.508,59.661,0.65,0.46,0.551,3.706,-36.867,0.835,36.191,0.873,0.776,0,221,100.563,115.496,data_traditional
22,-3.495,50.927,2.039,0.394,0.556,1.948,-35.479,0.709,-81.938,0.952,0.972,1,485,455.027,121.621,data_traditional
23,148.16,42.668,0.107,0.447,0.619,2.257,-37.41,0.722,83.244,0.672,0.737,0,191,85.796,116.893,data_traditional
24,-85.086,25.384,2.369,0.426,0.461,2.025,-35.148,0.925,51.452,0.939,0.982,1,458,379.414,122.455,data_traditional
25,-42.69,21.991,-1831.736,0.854,2.276,163.565,-1869.253,0.375,84.072,0.823,0.716,0,184,80.454,121.872,data_traditional
