,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,1.15
Refraction index,1.33
Voxel size,220 nm x 220 nm x 220 nm
Bead diameter,100 nm
,
Frame size,10 pixels
Threshold,222
,
Theoretical FWHM in XY,223 nm
Theoratical FWHM in Z,885 nm
,
HeatMap Statistics,
FWHM min,425 nm +/- 17 nm
FWHMmin / Theoretical FWHMxy,1.907 +/- 0.077
FWHM max,582 nm +/- 59 nm
FWHMmax / Theoretical FWHMxy,2.614 +/- 0.263
FWHM z,1.38 um +/- 114.79 nm
FWHMz / Theoretical FWHMz,1.564 +/- 0.13
z0,+/- 8.19 um
(z0 - mean(z0)) / FWHMz,+/- 9.256
Asymmetry,0.743 +/- 0.066
Theta,13.9 deg +/- 53.4 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
1,-132.51,65.751,1.382,0.373,0.741,1.673,-37.499,0.503,-5.647,0.736,0.95,0,460,304.449,133.254,data_traditional
2,113.135,58.64,1.554,0.579,0.912,2.813,-37.328,0.635,-6.825,0.904,0.835,1,245,121.007,115.921,data_traditional
3,126.381,29.105,55.306,0.65,1.401,1.002,16.425,0.464,67.335,0.957,0.828,1,438,421.938,130.571,data_traditional
4,18.628,18.694,2.741,0.44,0.548,1.77,-36.14,0.803,-79.232,0.946,0.929,1,868,729.309,126.877,data_traditional
5,126.325,-13.482,0.619,0.37,1.995,3.699,-38.262,0.185,-24.563,0.911,0.835,0,237,122.16,114.121,data_traditional
6,-23.277,-41.961,2.052,0.579,0.678,2.334,-36.83,0.855,56.648,0.885,0.893,0,450,389.323,124.476,data_traditional
7,61.505,-54.25,1.166,0.403,1.401,1.581,-37.716,0.287,-51.93,0.962,0.976,1,434,378.756,123.743,data_traditional
8,85.14,-93.94,-0.028,0,0,8.521,-38.91,0.0,0,0,0.852,0,222,0,0,data_traditional
9,-128.514,93.742,1.611,0.44,0.644,2.075,-37.271,0.684,-22.52,0.863,0.938,0,435,292.052,124.837,data_traditional
10,-122.43,91.76,2.069,0.393,0.799,1.99,-36.812,0.492,-31.271,0.91,0.948,1,625,477.734,132.255,data_traditional
11,-132.348,83.648,1.981,0.446,0.751,2.154,-36.901,0.594,-16.058,0.9,0.938,0,413,317.898,124.19,data_traditional
12,-159.39,75.047,0.695,0.393,1.573,3.348,-38.187,0.25,-5.657,0.939,0.882,0,240,164.78,115.765,data_traditional
13,-25.714,71.207,1.979,0.437,0.837,1.373,-36.903,0.522,-85.567,0.924,0.973,1,609,432.839,121.403,data_traditional
14,-147.734,52.38,0.752,0.389,1.385,2.445,-38.129,0.281,2.164,0.896,0.813,0,230,105.615,114.337,data_traditional
15,145.527,40.7,10.243,0,0,1.854,-28.639,0.0,0,0,0.557,0,238,0,0,data_traditional
16,125.558,40.094,0.928,0.395,1.759,3.027,-37.954,0.225,-12.917,0.927,0.819,0,208,114.813,111.762,data_traditional
17,-66.111,31.722,0.227,1.634,3.26,4.924,-38.654,0.501,0.0,0.508,0.753,0,143,-71.114,197.931,data_traditional
18,48.258,7.835,2.332,0.423,0.545,1.293,-36.549,0.776,-63.329,0.954,0.976,1,1182,1076.922,133.567,data_traditional
19,-20.993,5.05,49.904,0.415,0.534,1.089,11.023,0.778,88.142,0.987,0.968,1,1996,2206.553,130.669,data_traditional
20,126.292,-13.47,0.619,0.368,1.828,3.699,-38.262,0.201,-25.64,0.899,0.835,0,237,124.788,114.238,data_traditional
21,55.475,-39.147,1.888,0.458,0.804,1.507,-36.994,0.57,-60.246,0.942,0.885,0,656,602.045,128.841,data_traditional
22,55.475,-39.146,1.888,0.463,0.804,1.507,-36.994,0.576,-60.54,0.949,0.885,0,656,604.122,126.114,data_traditional
23,63.38,-50.302,1.791,0.457,1.052,2.094,-37.091,0.434,-48.636,0.924,0.951,1,365,263.553,126.504,data_traditional
24,-39.16,-56.32,0.925,0,0,2.277,-37.956,0.0,0,0,0.779,0,193,0,0,data_traditional
25,74.43,-74.315,2.916,0.641,1.318,1.488,-35.966,0.486,28.932,0.758,0.695,0,258,115.134,134.511,data_traditional
26,-149.113,75.904,2.534,0.545,0.954,2.552,-36.348,0.571,74.1,0.807,0.806,0,196,91.022,115.338,data_traditional
27,-11.88,73.26,47.712,0,0,1.914,8.83,0.0,0,0,0.874,0,744,0,0,data_traditional
28,-68.688,37.504,3.063,0.449,0.586,2.152,-35.819,0.765,21.55,0.918,0.974,1,542,445.923,126.425,data_traditional
